Class Name,Minimum Recomended Hours,Maximum Recomended Hours,Category Letters
IB History of the Americas,3,5,ag
IB Language and Literature,3,5,bg
IB Spanish SL,3,5,eg
IB French SL,3,5,eg
IB Global Politics,3,5,ag
IB Math SL,3,5,cg
IB Math Studies SL,3,5,cg
IB Biology,3,5,dg
IB Environmental Systems and Societies,3,5,dg
IB Visual Art,3,5,fg
